0	1	2	3	4	5
912828ZX1	912810SS89	98.317	912810SS89	99.001	1000000
912828ZX1	912810SS89	98.316	912810SS89	99.002	2000000
912828ZX1	912810SS89	98.315	912810SS89	99.003	3000000
912828ZX1	912810SS89	98.31+	912810SS89	99.00+	4000000
912828ZX1	912810SS89	98.313	912810SS89	99.005	5000000
912828ZX1	912810SS89	98.317	912810SS89	99.003	1000000
912828ZX1	912810SS89	98.316	912810SS89	99.00+	2000000
912828ZX1	912810SS89	98.315	912810SS89	99.005	3000000
912828ZX1	912810SS89	98.31+	912810SS89	99.006	4000000
912828ZX1	912810SS89	98.313	912810SS89	99.007	5000000
912828ZX1	912810SS89	98.317	912810SS89	99.005	1000000
912828ZX1	912810SS89	98.316	912810SS89	99.006	2000000
912828ZX1	912810SS89	98.315	912810SS89	99.007	3000000
912828ZX1	912810SS89	98.31+	912810SS89	99.010	4000000
912828ZX1	912810SS89	98.313	912810SS89	99.011	5000000
912828ZX1	912810SS89	98.317	912810SS89	99.007	1000000
912828ZX1	912810SS89	98.316	912810SS89	99.010	2000000
912828ZX1	912810SS89	98.315	912810SS89	99.011	3000000
912828ZX1	912810SS89	98.31+	912810SS89	99.012	4000000
912828ZX1	912810SS89	98.313	912810SS89	99.013	5000000
912828ZX1	912810SS89	99.003	912810SS89	99.005	1000000
912828ZX1	912810SS89	99.002	912810SS89	99.006	2000000
912828ZX1	912810SS89	99.001	912810SS89	99.007	3000000
912828ZX1	912810SS89	99.000	912810SS89	99.010	4000000
912828ZX1	912810SS89	98.317	912810SS89	99.011	5000000
912828ZX1	912810SS89	99.003	912810SS89	99.007	1000000
912828ZX1	912810SS89	99.002	912810SS89	99.010	2000000
912828ZX1	912810SS89	99.001	912810SS89	99.011	3000000
912828ZX1	912810SS89	99.000	912810SS89	99.012	4000000
912828ZX1	912810SS89	98.317	912810SS89	99.013	5000000
912828ZX1	912810SS89	99.003	912810SS89	99.011	1000000
912828ZX1	912810SS89	99.002	912810SS89	99.012	2000000
912828ZX1	912810SS89	99.001	912810SS89	99.013	3000000
912828ZX1	912810SS89	99.000	912810SS89	99.01+	4000000
912828ZX1	912810SS89	98.317	912810SS89	99.015	5000000
912828ZX1	912810SS89	99.003	912810SS89	99.013	1000000
912828ZX1	912810SS89	99.002	912810SS89	99.01+	2000000
912828ZX1	912810SS89	99.001	912810SS89	99.015	3000000
912828ZX1	912810SS89	99.000	912810SS89	99.016	4000000
912828ZX1	912810SS89	98.317	912810SS89	99.017	5000000
912828ZX1	912810SS89	99.007	912810SS89	99.011	1000000
912828ZX1	912810SS89	99.006	912810SS89	99.012	2000000
912828ZX1	912810SS89	99.005	912810SS89	99.013	3000000
912828ZX1	912810SS89	99.00+	912810SS89	99.01+	4000000
912828ZX1	912810SS89	99.003	912810SS89	99.015	5000000
